,City_Name,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed,Max_Temp,Wind_Speed
340,portland,75,US,1553385079,44,45.52,-122.67,,,60.8,6.93
341,jiddah,,,,,,,,,,
342,attawapiskat,,,,,,,,,,
343,ballina,20,IE,1553385609,99,54.11,-9.15,,,45.0,7.85
344,haines junction,68,CA,1553385307,57,60.75,-137.51,,,40.93,5.61
345,wa,,,,,,,,,,
346,kumsi,48,IN,1553385628,97,14.06,75.4,,,68.38,2.82
347,strelka,88,RU,1553385629,86,58.08,93.03,,,23.2,2.15
348,linqiong,56,CN,1553382000,93,30.42,103.46,,,46.4,2.24
349,middleton,90,CA,1553385615,86,44.94,-65.07,,,37.99,13.87
350,diffa,0,NE,1553385491,26,13.32,12.61,,,76.12,11.21
351,yola,76,NG,1553385630,73,9.26,12.45,,,76.66,3.6
352,ambur,0,IN,1553385631,79,12.79,78.72,,,64.42,2.15
353,salinopolis,68,BR,1553385489,100,-0.61,-47.36,,,79.63,11.54
354,martapura,20,ID,1553382000,100,-3.41,114.85,,,75.2,6.93
355,lompoc,40,US,1553385622,63,34.64,-120.46,,,66.0,11.41
356,san policarpo,36,PH,1553385376,87,12.18,125.51,,,78.91,12.44
357,meyungs,,,,,,,,,,
358,mayumba,88,GA,1553385632,100,-3.44,10.65,,,78.1,4.83
359,emirdag,0,TR,1553385632,73,39.02,31.15,,,25.54,4.05
360,maghama,,,,,,,,,,
361,rio gallegos,0,AR,1553382000,87,-51.62,-69.22,,,51.8,4.7
362,ormara,88,PK,1553385329,73,25.21,64.64,,,75.13,12.1
363,betanzos,0,ES,1553385623,87,43.28,-8.21,,,57.99,3.36
364,gimli,0,CA,1553385605,72,50.63,-96.99,,,46.0,9.75
365,behbahan,0,IR,1553382000,58,30.59,50.24,,,59.0,2.15
366,divo,0,CI,1553385634,73,5.83,-5.36,,,78.82,5.73
367,aklavik,20,CA,1553382000,67,68.22,-135.01,,,23.0,17.22
368,nuuk,20,GL,1553381400,56,64.17,-51.74,,,12.2,19.46
369,west plains,90,US,1553385361,81,36.73,-91.85,,,57.0,8.05
370,banfora,68,BF,1553385635,55,10.64,-4.75,,,75.58,3.04
371,pedernales,88,EC,1553385635,85,0.07,-80.05,,,75.94,4.27
372,bandarbeyla,92,SO,1553385237,100,9.49,50.81,,,79.63,9.42
373,chokwe,,,,,,,,,,
374,bubaque,8,GW,1553385635,100,11.28,-15.83,,,77.47,13.67
375,harper,90,US,1553385633,72,30.3,-99.24,,,72.0,6.93
376,yialos,,,,,,,,,,
377,guerrero negro,0,MX,1553385636,57,27.97,-114.04,,,67.21,12.55
378,mercedes,8,UY,1553385637,73,-33.25,-58.03,,,63.7,6.73
379,nizhneyansk,,,,,,,,,,
380,praia da vitoria,40,PT,1553384848,66,38.73,-27.07,,,55.4,27.98
381,berlevag,8,NO,1553385637,100,70.86,29.09,,,26.35,9.42
